,faster_r-cnn_resnet50_fpn_random-init_GTSRB_10Epochs,faster_r-cnn_resnet50_fpn_GTSRB-Transfer_GTSDB_10Epochs,faster_r-cnn_resnet50_fpn_COCO-transfer_GTSRB_10Epochs,faster_r-cnn_resnet50_fpn_random_init_train_GTSDB_10Epochs,faster_r-cnn_resnet50_fpn_COCO-transfer_GTSDB_10Epochs
0,0.8308893085097799,0.0,0.8677537979790515,0.0,0.0024881314668289004
1,0.8958718199194496,0.0,0.9220102251094539,0.0,0.08553783107723101
2,0.910181707775587,0.037044096223154244,0.9275756158698415,0.0,0.15286249311147546
3,0.9610235412105909,0.04159496517396803,0.9655561971981513,0.0,0.16075285021818791
4,0.9633559828999728,0.04763584024841916,0.967130273497204,0.0004591895304786964,0.18414797007762987
5,0.9637338454867812,0.06763301488531685,0.968307320386888,0.001086478516180719,0.20129297161846837
6,0.9691583448600816,0.06720510961278542,0.9711437063648702,0.001086478516180719,0.20237810861672104
7,0.9691694091565082,0.07036001511092009,0.9712808654659006,0.001086478516180719,0.20170674694985263
8,0.969226957443272,0.07051403876323535,0.9717088854694594,0.001086478516180719,0.20417227640864305
9,0.9696503740267987,0.07058846912753051,0.9720669009006719,0.001086478516180719,0.20488349447466583
