,images,labels,p,r,map50,map
all,120.0,180.0,0.9049057834982753,0.8024119050623155,0.875895946429627,0.7328854988142026
Geschwindigkeitsbegrenzung 20 km/h,120.0,2.0,1.0,0.9464059804485336,0.995,0.7958777777777779
Geschwindigkeitsbegrenzung 30 km/h,120.0,6.0,1.0,0.598415876193654,0.995,0.8797914285714287
Geschwindigkeitsbegrenzung 50 km/h,120.0,12.0,1.0,0.613067084942085,0.857676923076923,0.7417154039231209
Geschwindigkeitsbegrenzung 60 km/h,120.0,6.0,1.0,0.833202497102912,0.8807142857142859,0.7921850202217875
Geschwindigkeitsbegrenzung 70 km/h,120.0,6.0,0.7481110142400464,1.0,0.9721428571428571,0.9183321142857143
Geschwindigkeitsbegrenzung 80 km/h,120.0,7.0,0.9952927487174063,0.8571428571428571,0.9775,0.8219258496732026
Geschwindigkeitsbegrenzung aufgehoben,120.0,4.0,1.0,0.5829642925451308,0.995,0.6975955882352942
Geschwindigkeitsbegrenzung 100 km/h,120.0,13.0,0.7754915193939584,0.38461538461538464,0.7549915966386556,0.6467462859981283
Geschwindigkeitsbegrenzung 120 km/h,120.0,17.0,0.6401059485996236,0.8374530146427169,0.7634753275947146,0.6570168486631864
Überholverbot,120.0,4.0,0.939953639771158,0.75,0.8561111111111112,0.6546699346405228
Überholverbot für LKW,120.0,16.0,0.8390060363062817,0.9779180086822574,0.9044478844169246,0.7760296507104865
Vorfahrt,120.0,3.0,0.9558728562330796,1.0,0.995,0.9124993609022557
Vorfahrtsstraße,120.0,13.0,1.0,0.8933979007149739,0.9339215686274509,0.7304633746816908
Vorfahrt gewähren,120.0,11.0,1.0,0.8531747871370513,0.995,0.8304250000000002
Stopschild,120.0,7.0,1.0,0.8969858597297982,0.995,0.9262871641791046
Verbot für Fahrzeuge aller Art,120.0,1.0,0.8291473071134088,1.0,0.995,0.8955
Verbot der Einfahrt,120.0,5.0,0.9262782782782782,0.8,0.8032644628099174,0.6826011356204292
Gefahrstelle,120.0,8.0,0.9848317705460563,0.75,0.8369294117647058,0.7671957164404223
Kurve links,120.0,1.0,0.9137669344040236,1.0,0.995,0.796
Kurve rechts,120.0,1.0,0.4331541048090344,1.0,0.995,0.8955
Unebene Fahrbahn,120.0,3.0,0.9640456752939096,1.0,0.995,0.8627609302325581
Schleudergefahr,120.0,4.0,1.0,0.853366524419156,0.995,0.8397422480620154
Baustelle,120.0,2.0,0.9251689956171113,0.5,0.5036206896551723,0.401544676566826
Lichtzeichenanlage,120.0,2.0,0.6026357536858344,1.0,0.8283333333333331,0.5965079908675798
Fußgängerüberweg,120.0,2.0,0.9323799479153649,0.5,0.637857142857143,0.5599982142857144
spielende Kinder,120.0,1.0,1.0,0.0,0.0,0.0
Schnee- und Eisglätte,120.0,2.0,0.923912789318796,1.0,0.995,0.8955
Alle Streckenverbote aufgehoben,120.0,1.0,0.9506705380378496,1.0,0.995,0.597
Vorgeschriebene Fahrtrichtung rechts,120.0,3.0,0.7095247545034375,1.0,0.8300000000000002,0.7038365666666667
Vorgeschriebene Fahrtrichtung links,120.0,2.0,0.9034416189588603,0.5,0.6616666666666667,0.5462111111111112
Vorgeschriebene Fahrtrichtung geradeaus,120.0,5.0,0.98991848991849,1.0,0.995,0.7128984962406015
Vorgeschriebene Fahrtrichtung geradeaus oder rechts,120.0,2.0,1.0,0.621117573269472,0.995,0.796
Rechts vorbei,120.0,7.0,1.0,0.7327771305327415,0.8578089171974522,0.6922490711252653
Überholverbot aufgehoben,120.0,1.0,0.8840859172793549,1.0,0.995,0.8955
